product_ndc,brand_name,generic_name,labeler_name,product_type,dosage_form,route,marketing_category,marketing_start_date,marketing_end_date,active_ingredients,pharm_class,dea_schedule,finished,listing_expiration_date
10829-1468,,varenicline tartrate,Pfizer Italia S.r.l.,DRUG FOR FURTHER PROCESSING,"TABLET, FILM COATED",,DRUG FOR FURTHER PROCESSING,20200102,,VARENICLINE TARTRATE (1 kg/kg),,,False,20261231
42816-0501,,tofacitinib,Pfizer Ireland Pharmaceuticals Unlimited Company,DRUG FOR FURTHER PROCESSING,"TABLET, FILM COATED, EXTENDED RELEASE",,DRUG FOR FURTHER PROCESSING,20211114,,TOFACITINIB CITRATE (11 mg/1),,,False,20261231
53869-2710,,doxazosin mesylate,Pfizer Manufacturing Deutschland GmbH,DRUG FOR FURTHER PROCESSING,TABLET,,DRUG FOR FURTHER PROCESSING,20210512,,DOXAZOSIN MESYLATE (1 mg/1),,,False,20271231
10829-1469,,varenicline tartrate,Pfizer Italia S.r.l.,DRUG FOR FURTHER PROCESSING,"TABLET, FILM COATED",,DRUG FOR FURTHER PROCESSING,20200102,,VARENICLINE TARTRATE (1 kg/kg),,,False,20261231
53869-2720,,doxazosin mesylate,Pfizer Manufacturing Deutschland GmbH,DRUG FOR FURTHER PROCESSING,TABLET,,DRUG FOR FURTHER PROCESSING,20210518,,DOXAZOSIN MESYLATE (2 mg/1),,,False,20271231
0069-0238,Ruxience,rituximab-pvvr,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"INJECTION, SOLUTION",INTRAVENOUS,BLA,20200123,,RITUXIMAB (100 mg/10mL),CD20-directed Antibody Interactions [MoA]; CD20-directed Cytolytic Antibody [EPC],,True,20271231
42816-0833,,VENLAFAXINE HYDROCHLORIDE,Pfizer Ireland Pharmaceuticals Unlimited Company,DRUG FOR FURTHER PROCESSING,"CAPSULE, EXTENDED RELEASE",,DRUG FOR FURTHER PROCESSING,19971101,,VENLAFAXINE HYDROCHLORIDE (75 mg/1),,,False,20261231
53869-2740,,doxazosin mesylate,Pfizer Manufacturing Deutschland GmbH,DRUG FOR FURTHER PROCESSING,TABLET,,DRUG FOR FURTHER PROCESSING,20210531,,DOXAZOSIN MESYLATE (4 mg/1),,,False,20271231
0069-0830,SUTENT,Sunitinib malate,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,20140712,,SUNITINIB MALATE (37.5 mg/1),Kinase Inhibitor [EPC]; Protein Kinase Inhibitors [MoA],,True,20271231
0069-4031,Doxorubicin Hydrochloride,Doxorubicin Hydrochloride,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"INJECTION, SOLUTION",INTRAVENOUS,NDA,20250331,,DOXORUBICIN HYDROCHLORIDE (2 mg/mL),Anthracycline Topoisomerase Inhibitor [EPC]; Anthracyclines [CS]; Topoisomerase Inhibitors [MoA],,True,20261231
42816-0836,,VENLAFAXINE HYDROCHLORIDE,Pfizer Ireland Pharmaceuticals Unlimited Company,DRUG FOR FURTHER PROCESSING,"CAPSULE, EXTENDED RELEASE",,DRUG FOR FURTHER PROCESSING,19971101,,VENLAFAXINE HYDROCHLORIDE (150 mg/1),,,False,20261231
53869-2780,,doxazosin mesylate,Pfizer Manufacturing Deutschland GmbH,DRUG FOR FURTHER PROCESSING,TABLET,,DRUG FOR FURTHER PROCESSING,20210211,,DOXAZOSIN MESYLATE (8 mg/1),,,False,20271231
0069-3130,Zithromax,azithromycin dihydrate,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"POWDER, FOR SUSPENSION",ORAL,NDA,19951019,,AZITHROMYCIN DIHYDRATE (200 mg/5mL),Macrolide Antimicrobial [EPC]; Macrolides [CS],,True,20271231
0071-0805,Neurontin,gabapentin,Parke-Davis Div of Pfizer Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,19931230,20270430,GABAPENTIN (300 mg/1),Decreased Central Nervous System Disorganized Electrical Activity [PE],,True,
0069-0342,Zirabev,bevacizumab-bvzr,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"INJECTION, SOLUTION",INTRAVENOUS,BLA,20200113,,BEVACIZUMAB (400 mg/16mL),Vascular Endothelial Growth Factor Inhibitor [EPC]; Vascular Endothelial Growth Factor Inhibitors [MoA]; Vascular Endothelial Growth Factor-directed Antibody Interactions [MoA],,True,20261231
0069-1509,Cutaquig,immunoglobulin G,Pfizer Laboratories Div Pfizer Inc,PLASMA DERIVATIVE,SOLUTION,SUBCUTANEOUS,BLA,20190913,,HUMAN IMMUNOGLOBULIN G (165 mg/mL),Antigen Neutralization [MoA]; Human Immunoglobulin G [EPC]; Immunoglobulins [CS]; Passively Acquired Immunity [PE],,True,20261231
0069-6323,Caduet,amlodipine and atorvastatin,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"TABLET, FILM COATED",ORAL,NDA,20220831,,AMLODIPINE BESYLATE (5 mg/1); ATORVASTATIN CALCIUM TRIHYDRATE (20 mg/1),Calcium Channel Antagonists [MoA]; Calcium Channel Blocker [EPC]; Cytochrome P450 3A Inhibitors [MoA]; Dihydropyridine Calcium Channel Blocker [EPC]; Dihydropyridines [CS]; HMG-CoA Reductase Inhibitor [EPC]; Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA],,True,20271231
0069-0244,Toviaz,fesoterodine fumarate,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,NDA,20081031,,FESOTERODINE FUMARATE (8 mg/1),,,True,20271231
60793-115,Cytomel,liothyronine sodium,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,19560508,,LIOTHYRONINE SODIUM (5 ug/1),Triiodothyronine [CS]; l-Triiodothyronine [EPC],,True,20271231
0069-1001,XELJANZ,tofacitinib,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"TABLET, FILM COATED",ORAL,NDA,20121109,,TOFACITINIB CITRATE (5 mg/1),Janus Kinase Inhibitor [EPC]; Janus Kinase Inhibitors [MoA],,True,20271231
