acta,producto,muestra,clasificacion,articulos,rotulado_frontal,marca,fecha_de_analisis,habilitacion_de_producto,vencimiento,lote,contenido_neto
128453,DULCE DE LECHE. Libre de gluten,775106,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CONAPROLE,2026-06-15,1395/282,2027-03-02,L1 (6651),500 g
128454,AGUA MINERAL NATURAL SIN GAS,775101,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,ESENCIAL,2026-06-15,19726/3,2026-11-28,E:28/04/26 13:15,6.25 L
128454,AGUA MINERALIZADA SIN GAS,775098,Fuera de las condiciones reglamentarias,Resolución S/N/024 Reglamento NOrmativo de Productos RUNAEV. art. 1 y art. 9. el producto presenta su registro vencido desde el 8/2/26,En condiciones,VITALE,2026-06-15,485/130,2027-04-21,CS626MAY261254,1.75 L
128453,DULCE DE LECHE,775109,Fuera de las condiciones reglamentarias,Decreto 466/009 el resultado de humedad se encuentra levemente por encima del límite establecido y el resultado del contenido de grasas se encuentra por debajo del límite establecido tanto en el Decreto 466/009 como lo declarado en el registro vigente.,En condiciones,SUIZO,2026-06-15,8540/37,2026-08-10,03,900g
128458,SALSA POMAROLA,775104,Fuera de las condiciones reglamentarias,Res. S/N/024 art. 1 y art. 9 el producto presenta su registro vencido desde el 23/01/26,En condiciones,ODERICH,2026-06-15,8345/98,2027-11-30,CADOR 2 01:37,300g
128454,AGUA MINERAL CON GAS,775097,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,NIX,2026-06-15,18280/20,2027-03-18,L077 00:45,2 L
128453,DULCE DE LECHE LIBRE DE GLUTEN,775110,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,DOÑA ELVIRA,2026-06-15,7795/379,2026-08-28,28/08/26 T101,900 g
128458,SALSA DE TOMATES,775103,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,RUNAEV 11862/3/02111045070005 vigente desde 28/5/25,En condiciones,PONTEVEDRA,2026-06-15,17779/121,2027-07-30,2304,340g
128453,DULCE DE LECHE LIBRE DE GLUTEN,775107,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,LOS NIETITOS,2026-06-15,7795/153,2026-11-09,09/11/2026 T22,400 g
128458,Salsa de tomate con albahaca sin azúcares agregados. Bajo en calorías. Libre de gluten.,775102,Fuera de las condiciones reglamentarias,"Decreto 117/006 art. 4 y 5 la información obligatoria. como la fecha de durción deberá presentarse en español. y en su lugar se indica ""jan/27"".",En condiciones,PREDILECTA,2026-06-15,12266/128,2027-01-31,155,300g
128453,Dulce de  leche,775105,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,PARMALAT,2026-06-15,25285/200,2026-10-10,100412,900 g
128454,AGUA MINERAL NATURAL SIN GAS,775099,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,NATIVA,2026-06-15,18280/1,2026-11-07,L041 22:38,1.65 L
128454,AGUA MINERAL SIN GAS,775100,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,EL DORADO,2026-06-15,19726/42,2026-12-22,E:22/05/26 10:26,6.25 L
128453,Dulce de leche libre de gluten,775108,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,LAPATAIA,2026-06-15,6859/71,2026-10-22,ABR009  22/10/26,475 g
128415,AGUA MINERAL NATURAL,775091,Fuera de las condiciones reglamentarias,Res. S/N/024 Reglamento NOrmativo de Productos RUNAEV. art. 1. el producto no presenta registro vigente. Decr. 117/006 art. 6.4 el producto no presenta identificación de origen,En condiciones,ACQUA PANNA,2026-06-09,No posee registro,2026-09-28,L5087087704,500 mL
128415,AGUA MINERAL NATURAL GASIFICADA,775092,Fuera de las condiciones reglamentarias,Res. S/N/024 Reglamento Normativo de Productos RUNAEV. art. 1 y art. 9. el registro se encuentra vencido desde 11/5/26,En condiciones,SANPELLEGRINO,2026-06-09,8529/111,2028-07-10,L6010087024,750 mL
128413,DULCE DE LECHE DIETÉTICO REDUCIDO EN CALORÍAS. SIN GLUTEN,775080,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,LA POSITIVA,2026-06-09,26236/56,2026-07-12,04309,420 G
128414,SALSA DE TOMATES MEDITERRÁNEA SIN GLUTEN,775088,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,PONTEVEDRA,2026-06-09,17779/111,2027-02-28,2711,340g
128415,AGUA MINERAL NATURAL LEVEMENTE GASIFICADA,775093,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,NATIVA,2026-06-09,18280/11,2027-05-11,L131 05:30,1.65 L
128414,SALSA A BASE DE TOMATE -TUCO-,775087,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,ARCOR,2026-06-09,No posee registro,2026-12-06,06/12/2026 SJ1 17:59 2,340g
128413,Dulce de leche,775079,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,EL SILENTE,2026-06-09,31936/1,2026-08-29,P 290426,420 g
